,time,price,fees,treasury,entry_fee_income,exit_fee_income,LA_exposure,LA_position,funding_payments,bull,liquidations,exits
0,2019-05-08,3.27,43930.15556984772,1905839.8078502598,143651.60871340203,0.0,2694341.077892387,21965077.784923855,861909.652280412,True,0.0,0.0
1,2019-05-09,3.31,74142.09371588149,3450082.1140130693,147022.90075862597,98387.42944094175,4604571.1430331115,37011586.4160858,1470100.2124469278,True,0.0,38.0
2,2019-05-10,3.08,94119.92981540915,3478705.1900585284,147691.69196822125,142197.69186323896,5900126.454289525,46873687.91620554,65496.85376995029,False,1.0,58.0
3,2019-05-11,3.04,98320.58354827936,3511780.8234962197,128233.10154327638,170661.4724434929,6737806.314851888,53321248.808266535,65244.95011058818,False,4.0,60.0
4,2019-05-12,2.78,174974.18150971917,3625259.9315224397,119735.18514484963,366693.0394521697,5203495.546041533,37319991.32979098,61495.07348349906,False,98.0,78.0
5,2019-05-13,2.54,136220.3636886007,3704155.3355120244,114662.3622938389,231337.36147520685,4591245.167783975,33900027.39285771,57324.95969901626,False,94.0,54.0
6,2019-05-14,2.53,83744.10958695067,3730399.131522373,119554.3011695155,92318.29608546969,6311922.807358537,48271533.69175474,57500.31357660244,False,4.0,49.0
7,2019-05-15,2.52,103442.1250980644,3775873.5768203363,117002.57506551077,143671.58018161153,7120740.237156498,57042400.80135535,57967.67980010101,False,5.0,66.0
8,2019-05-16,2.53,109786.77486088214,5944232.077331037,128130.4230411781,149630.11735685368,8428876.900695855,67805392.80796504,2058571.7256498188,True,0.0,65.0
9,2019-05-17,2.5,139037.48459099262,5992020.518493199,127447.0649969252,220146.64648055637,8645506.248461442,70476124.643785,91249.04342883044,False,4.0,92.0
10,2019-05-18,2.36,170072.65575540042,6074837.934901239,125653.43654948892,275718.03103325603,7701772.549738666,63943533.9164578,87255.23934736017,False,11.0,100.0
11,2019-05-19,2.38,127291.35078577726,8149760.966863247,112754.23270527125,190199.18216487864,8339121.705585507,68194386.59580636,1947631.6811762298,True,0.0,97.0
12,2019-05-20,2.42,140389.605288975,10341283.074284306,117412.51162583266,222330.3331734868,8748037.716341782,70631284.50868058,2051132.5021320838,True,0.0,89.0
13,2019-05-21,2.38,113281.82419333264,10305273.711727377,120368.18297456126,149242.5586055704,9775124.003701832,79074519.30929565,149291.18675026065,False,0.0,70.0
