value,price,exponential moving average
0,46650.01,46650.01
1,46766.78,46650.97904564316
2,46796.14,46652.18370086604
3,46789.56,46653.323753141005
4,46690.81,46653.63484232656
5,47184.18,46658.037706705596
6,46972.19,46660.644779678994
7,47186.83,46665.011462005314
8,47117.84,46668.76937518369
9,47137.37,46672.65817704939
10,46864.09,46674.246822883004
11,46755.01,46674.917056718
12,47062.37,46678.13243384067
13,47005.55,46680.84959206606
14,46909.2,46682.74461619829
15,47194.78,46686.993872495405
16,47249.99,46691.66603952864
17,47733.16,46700.30914293504
18,47546.74,46707.33346540031
19,47326.98,46712.47576029326
20,47385.22,46718.05870004187
21,47322.2,46723.07232078841
22,47428.16,46728.92367082336
23,47704.35,46737.01849513188
24,47622.14,46744.36390181129
25,47381.21,46749.64893167177
26,47374.28,46754.83259198985
27,47330.75,46759.61198956669
28,46902.11,46760.79454566988
29,47077.7,46763.4244664527
30,47122.49,46766.404263411605
31,47171.04,46769.76223632935
32,47211.36,46773.42694806105
33,47263.18,46777.49128874105
34,47175.95,46780.79800003781
35,47231.3,46784.536605846624
36,47279.57,46788.64476679396
37,47133.07,46791.50306748447
38,47110.2,46794.147855306175
39,47329.68,46798.59210546961
40,47780.0,46806.73656932463
41,47402.3,46811.67900443397
42,47046.95,46813.631460828714
43,46908.29,46814.417008871635
44,47012.47,46816.06060215901
45,47023.47,46817.78184197512
46,47261.73,46821.46605905417
47,47280.0,46825.27131997488
48,47059.43,46827.21454553526
49,47117.42,46829.622889555714
50,47005.39,46831.08153777517
51,46802.86,46830.847334142185
52,46823.58,46830.78702431528
53,47083.37,46832.883148594825
54,46930.85,46833.69615151105
55,47041.11,46835.417428262
56,46970.01,46836.53437906481
57,46979.01,46837.71674936303
58,47116.89,46840.033539824755
59,47364.11,46844.382722066875
60,47192.64,46847.27282395844
61,47157.33,46849.8459125563
62,46874.66,46850.05183859318
63,46689.99,46848.72352457996
64,46484.0,46845.696773338634
65,46564.54,46843.363522107604
66,46469.49,46840.26083727683
67,46364.55,46836.313029498604
68,45904.74,46828.582132988246
69,45974.5,46821.494314457224
70,46214.28,46816.45519151568
71,46445.81,46813.379297810156
72,46251.5,46808.71639907314
73,46065.39,46802.547715263405
74,46111.81,46796.8154520662
75,46313.95,46792.80826989138
76,46107.5,46787.12106433212
77,46151.49,46781.846117740155
78,46359.14,46778.3381831531
79,46521.68,46776.208239724445
80,46475.02,46773.70875225785
81,46355.2,46770.235650579365
82,46599.84,46768.821578790325
83,46709.98,46768.33326693314
84,46628.88,46767.17597841088
85,46933.15,46768.5533561834
86,47303.01,46772.98868102835
87,46925.28,46774.25250940156
88,46767.94,46774.20012343142
89,46564.0,46772.455724066844
90,45742.69,46763.909950423134
91,46058.09,46758.05252344867
92,46267.79,46753.98395478934
93,46230.6,46749.640519479886
94,46155.89,46744.71312927674
95,45833.42,46737.15053069353
96,46260.08,46733.1914391525
97,46112.1,46728.0371533504
